Angle,Radius,Value
153.75,0.3,3.22E-06
153.75,0.4,2.74E-06
153.75,0.5,2.46E-06
153.75,0.6,2.28E-06
153.75,0.8,4.32E-06
153.75,1,4.12E-06
153.75,1.5,1.02E-05
153.75,2,1.05E-05
153.75,3,2.25E-05
153.75,4,2.43E-05
153.75,5,2.57E-05
153.75,6,2.72E-05
153.75,8,5.77E-05
153.75,10,6.08E-05
153.75,15,1.55E-04
153.75,20,1.44E-04
153.75,30,2.20E-04
153.75,40,1.27E-04
153.75,50,6.34E-05
153.75,60,2.56E-05
157.5,0.05,6.41E-06
157.5,0.1,2.74E-06
157.5,0.15,2.01E-06
157.5,0.2,1.63E-06
157.5,0.3,2.72E-06
157.5,0.4,2.30E-06
157.5,0.5,2.11E-06
157.5,0.6,1.94E-06
157.5,0.8,3.76E-06
157.5,1,3.61E-06
157.5,1.5,8.85E-06
157.5,2,9.14E-06
157.5,3,1.94E-05
157.5,4,2.10E-05
157.5,5,2.23E-05
157.5,6,2.36E-05
157.5,8,5.03E-05
157.5,10,5.27E-05
157.5,15,1.34E-04
157.5,20,1.25E-04
157.5,30,1.90E-04
157.5,40,1.10E-04
157.5,50,5.46E-05
157.5,60,2.20E-05
161.25,0.05,5.11E-06
161.25,0.1,2.18E-06
161.25,0.15,1.63E-06
161.25,0.2,1.31E-06
161.25,0.3,2.26E-06
161.25,0.4,1.91E-06
161.25,0.5,1.74E-06
161.25,0.6,1.62E-06
161.25,0.8,3.09E-06
161.25,1,3.04E-06
161.25,1.5,7.48E-06
161.25,2,7.74E-06
161.25,3,1.65E-05
161.25,4,1.78E-05
161.25,5,1.89E-05
161.25,6,1.99E-05
161.25,8,4.25E-05
161.25,10,4.46E-05
161.25,15,1.14E-04
161.25,20,1.06E-04
161.25,30,1.61E-04
161.25,40,9.28E-05
161.25,50,4.58E-05
161.25,60,1.85E-05
165,0.05,4.00E-06
165,0.1,1.73E-06
165,0.15,1.26E-06
165,0.2,1.06E-06
165,0.3,1.81E-06
165,0.4,1.54E-06
165,0.5,1.47E-06
165,0.6,1.33E-06
165,0.8,2.53E-06
